aadA   1346596 1347384 1
yibR   3915683 3915916 -1
yicC   3927521 3928384 1
yicE   3941252 3942643 1
yicF   3931156 3932841 -1
yicH   3942764 3944473 1
yicI   3944576 3946894 -1
yicJ   3946906 3948288 -1
yicL   3965692 3966594 1
yicM   3977385 3978578 -1
yicN   3985535 3985987 -1
yidA   4034205 4035050 -1
yidC   4046425 4048071 1
yidE   4007527 4009188 -1
yidF   4005857 4006387 -1
yidG   4006384 4006746 -1
yidH   4006736 4007083 -1
yidQ   4010636 4010971 1
yidR   4010973 4012199 -1
yidY   4054077 4055264 1
yidZ   4055233 4056192 1
yieE   4056350 4057105 1
yieF   4057105 4057689 1
yieG   4057734 4059197 -1
yieH   4059240 4059905 1
yieM   4086305 4087729 -1
yieN   4087750 4089246 -1
yieO   4097508 4098935 -1
yieP   4098947 4099651 -1
yifA   4105545 4106393 -1
yifB   4106863 4108383 -1
yifE   4106500 4106838 1
yifK   4139420 4140805 1
yifL   4152022 4152225 1
yifZ   4632101 4633027 1
yigA   4153083 4153790 1
yigB   4154689 4155405 1
yigC   3930542 3931159 1
yigC   4183598 4185076 1
yigF   4159174 4159554 -1
yigG   4159570 4160028 -1
yigI   4160991 4161476 -1
yigL   4166892 4167692 1
yigM   4167773 4168672 1
yigN   4175765 4177195 1
yigP   4178056 4178661 1
yigQ   3900405 3901367 1
yigW   4182134 4182916 1
yigZ   4193020 4193634 1
yihA   4209252 4209884 -1
yihD   4202850 4203119 1
yihE   4203196 4204182 1
yihG   4204835 4205743 -1
yihI   4210467 4210982 1
yihO   4225770 4227191 -1
yihP   4227237 4228619 -1
yihQ   4228665 4230701 -1
yihR   4230745 4231602 -1
yihS   4231606 4232847 -1
yihT   4232863 4233741 -1
yihU   4233764 4234660 -1
yihV   4234825 4235721 1
yihW   4235755 4236558 1
yihX   4236749 4237348 1
yihZ   4238211 4238648 1
yiiD   4238645 4239634 1
yiiG   4250363 4251421 1
yiiL   4253496 4253810 -1
yiiM   4267166 4267918 1
yiiP   4271243 4272145 1
yiiQ   4291145 4291741 -1
yiiR   4291842 4292270 1
yiiU   4297115 4297354 1
yijC   4345579 4346214 1
yijD   4346230 4346589 1
yijF   4321821 4322444 -1
yijO   4332297 4333148 -1
yijP   4333309 4335042 -1
yjaB   4400247 4400684 -1
yjaD   4383331 4384104 1
yjaG   4385932 4386522 1
yjaH   4386993 4387685 1
yjbA   4446172 4446582 1
yjbB   4412289 4413920 1
yjbC   4415479 4416348 1
yjbD   4416345 4416617 -1
yjbE   4442252 4442497 1
yjbF   4442531 4443199 1
yjbG   4443196 4443933 1
yjbH   4443933 4446029 1
yjbJ   4461489 4461701 1
yjbN   4463960 4464958 1
yjbO   4465126 4465368 1
yjbQ   4471525 4471941 1
yjbR   4471944 4472300 1
yjcB   4501537 4501818 -1
yjcC   4502381 4503982 1
yjcD   4506146 4507495 1
yjcE   4507645 4509291 1
yjcG   4511508 4513157 -1
yjcH   4513154 4513468 -1
yjcO   4524484 4525173 -1
yjdB   4534384 4536027 -1
yjdC   4566770 4567345 -1
yjdE   4536161 4537498 -1
yjdL   2702150 2703610 1
yjeA   4586095 4587072 1
yjeB   4610601 4611026 1
yjeE   4599886 4600347 1
yjeF   4598367 4599914 1
yjeH   4573257 4574498 -1
yjeI   4576983 4577354 1
yjeJ   4577402 4578259 -1
yjeK   4578541 4579569 -1
yjeM   4587298 4588800 1
yjeO   4588852 4589166 1
yjeP   4589233 4592559 -1
yjeQ   4593638 4594714 -1
yjeS   4597229 4598383 -1
yjeT   4608796 4608993 1
yjfC   4618366 4619529 1
yjfH   4613593 4614324 1
yjfI   4614456 4614860 1
yjfJ   4614875 4615573 1
yjfK   4616616 4617299 1
yjfL   4617317 4617715 1
yjfM   4617725 4618363 1
yjfN   4621281 4621601 -1
yjfO   4621687 4622016 -1
yjfP   4622200 4622949 1
yjfQ   4622946 4623701 -1
yjfR   4623806 4624870 -1
yjfY   4629768 4630043 -1
yjgA   4681180 4681731 -1
yjgB   4729769 4730788 -1
yjgD   4712917 4713333 1
yjgF   4703033 4703419 -1
yjgG   4705022 4705162 1
yjgK   4711221 4711673 1
yjgM   4714986 4715489 -1
yjgN   4715684 4716871 1
yjgP   4722354 4723454 1
yjgQ   4723454 4724536 1
yjhP   4753941 4755572 -1
yjiA   4786300 4787256 -1
yjiE   4765066 4765974 -1
yjiG   4767278 4767739 -1
yjiH   4767736 4768620 -1
yjiJ   4769280 4770464 -1
yjiN   4770684 4771955 -1
yjiO   4772042 4773283 -1
yjiS   4776033 4776197 1
yjiW   4777047 4777379 -1
yjiX   4787267 4787470 -1
yjiY   4787565 4789715 -1
yjjA   4802273 4802734 -1
yjjG   4813116 4813796 1
yjjI   4819621 4821171 -1
yjjK   4837159 4838826 -1
yjjP   4804628 4805539 -1
yjjQ   4806117 4806842 1
yjjU   4816910 4817983 1
yjjV   4817980 4818753 1
yjjW   4818786 4819649 -1
yjjX   4841458 4841973 -1
yjjY   4856182 4856322 1
ylaB   524577 526127 -1
ylaC   526814 527284 -1
ylbA   587927 588712 -1
ylbE   593034 594293 1
ylbF   594305 595114 1
yliA   918101 919972 1
yliB   920005 921543 1
yliC   921604 922524 1
yliD   922527 923438 1
yliG   923529 924854 -1
yliH   925085 925468 1
yliI   933950 934630 1
yliJ   934627 935253 -1
yljA   1022347 1022667 1
ymbA   1156822 1157385 1
ymdA   1232604 1232924 1
ymdC   1233491 1234975 1
ymdF   1206204 1206371 1
ymfB   1322749 1323210 -1
ymfC   1323548 1324213 -1
ymgE   1896845 1897099 -1
ynaF   1746131 1746565 1
ynaI   1756772 1757803 1
ynaJ   1756279 1756533 -1
ynbE   1736962 1737153 -1
yncA   1678345 1678860 1
yncB   1677096 1678166 -1
yncC   1676097 1676762 -1
yncD   1673910 1676030 1
yncJ   1693405 1693635 1
yneA   4287100 4288122 1
yneB   4288151 4289026 1
yneC   4289070 4289399 1
yneG   1603570 1603929 1
yneH   1602644 1603570 1
yneI   1601183 1602571 1
yneJ   1600208 1601080 -1
ynfA   1581800 1582126 1
ynfB   1581306 1581647 -1
ynfC   1579950 1580669 1
ynfD   1579547 1579855 -1
ynfI   1572274 1572888 -1
ynfK   1566447 1567142 1
ynfL   1564074 1564973 1
ynfM   1562701 1563954 -1
ynhA   1457418 1457834 1
ynhG   1457989 1458990 1
yniB   1403157 1403693 1
yniC   1402340 1403008 -1
yoaA   1918518 1920428 -1
yoaB   1920559 1920903 1
yoaE   1926504 1928060 -1
yoaG   1351771 1351953 1
yoaH   1920909 1921088 -1
yobA   1969542 1969916 -1
yobF   1935769 1935912 -1
yobG   1936919 1937062 -1
yodD   2068412 2068639 1
yohC   2266638 2267225 -1
yohD   2267357 2267953 1
yohF   2268002 2268763 -1
yohG   2268829 2270265 -1
yohI   2270724 2271662 -1
yohJ   2277922 2278320 1
yohK   2278317 2279012 1
yohL   3183783 3184055 -1
yohM   3184177 3185043 1
yojI   2360762 2362405 -1
yojN   2367308 2369977 1
ypeC   2523332 2523658 1
ypfG   2585921 2586964 -1
ypfI   2599076 2601094 -1
yqaA   2968568 2968993 -1
yqaB   2968990 2969556 -1
yqaE   2945700 2945858 -1
yqcB   3115544 3116326 -1
yqcC   3116326 3116655 -1
yqcD   3117881 3118729 1
yqeF   3179658 3180836 -1
yqfA   3208014 3208673 -1
yqfB   3208837 3209148 -1
yqgA   3275333 3276040 1
yqgB   3250912 3251043 -1
yqgC   3251177 3251341 1
yqgD   3251338 3251637 -1
yqgE   3258102 3258665 1
yqgF   3258665 3259081 1
yqhA   3316274 3316768 -1
yqhC   3323045 3323962 -1
yqhD   3324137 3325300 1
yqhE   3325406 3326233 1
yqiA   3345882 3346463 -1
yqiB   3347315 3347737 -1
yqiC   3358881 3359240 1
yqiE   3347734 3348366 -1
yqiK   3360420 3362099 1
yqjA   3395194 3395856 1
yqjB   3395860 3396243 1
yqjC   3396388 3396756 1
yqjD   3396798 3397103 1
yqjE   3397106 3397504 1
yqjF   3397945 3398430 1
yqjG   3398498 3399484 1
yqjH   3379159 3379926 -1
yqjI   3380158 3380805 1
yqjK   3397501 3397800 1
yraL   3432400 3433263 -1
yraM   3433327 3435369 1
yraN   3435327 3435722 1
yraO   3435744 3436334 1
yraP   3436344 3436919 1
yraR   3436986 3437654 -1
yrbA   3476208 3476501 -1
yrbB   3476650 3476946 -1
yrbC   3476946 3477581 -1
yrbD   3477600 3478151 -1
yrbE   3478156 3478938 -1
yrbF   3478946 3479758 -1
yrbG   3479971 3480948 1
yrbH   3480962 3481948 1
yrbI   3481969 3482535 1
yrbK   3482532 3483107 1
yrbL   3488180 3488812 1
yrdA   3572482 3573036 1
yrdB   3573012 3573269 -1
yrdC   3574089 3574661 -1
yrdD   3574666 3575208 -1
yrfA   3644366 3644767 -1
yrfB   3644757 3645230 -1
yrfC   3645214 3645753 -1
yrfD   3645753 3646532 -1
yrfE   3649301 3649897 -1
yrfF   3650187 3652319 1
yrfG   3652384 3653052 1
yrfH   3653063 3653464 1
yrfI   3653483 3654367 1
ysaA   3854019 3854492 -1
ysdA   3998333 3998447 1
ysdB   3998444 3998533 1
yshA   4225010 4225702 -1
ytfB   4633077 4633712 -1
ytfE   4636369 4637031 -1
ytfF   4637134 4638099 -1
ytfG   4638180 4639028 -1
ytfH   4639116 4639502 1
ytfJ   4642501 4643058 -1
ytfK   4643319 4643591 1
ytfL   4643676 4645019 -1
ytfM   4646053 4647786 1
ytfN   4647783 4651562 1
ytfP   4651565 4651909 1
ytgA   4714391 4714879 -1
zipA   2541088 2542074 -1
zntA   3742444 3744642 1
zntR   3581965 3582390 -1
znuA   1986415 1987416 -1
znuB   1988190 1988975 1
znuC   1987387 1988193 1
zraP   4387727 4388182 -1
zur    4461800 4462315 -1
zwf    1979667 1981142 -1
