thrL   189 254 cw
fucI   2933605 2935380 cw
fucK   2935459 2936907 cw
fucU   2936909 2937331 cw
fucR   2937389 2938120 cw
rlmM   2938164 2939264 ccw
ygdD   2939257 2939652 ccw
gcvA   2939671 2940588 ccw
ygdI   2940939 2941166 ccw
csdA   2941358 2942563 cw
csdE   2942563 2943006 cw
csdL   2943057 2943863 ccw
mltA   2944102 2945199 ccw
amiC   2945778 2947031 ccw
argA   2947263 2948594 cw
recD   2948656 2950482 ccw
recB   2950482 2954024 ccw
ptrA   2954017 2956905 ccw
recC   2957081 2960449 ccw
ppdC   2960462 2960785 ccw
ygdB   2960770 2961177 ccw
ppdB   2961174 2961737 ccw
ppdA   2961728 2962198 ccw
thyA   2962382 2963176 ccw
lgt    2963183 2964058 ccw
ptsP   2964209 2966455 ccw
rppH   2966468 2966998 ccw
mutH   2967683 2968372 cw
ygdQ   2968441 2969154 cw
ygdR   2969292 2969510 cw
tas    2969618 2970658 cw
lplT   2970690 2971883 ccw
aas    2971876 2974035 ccw
galR   2974620 2975651 cw
lysA   2975658 2976920 ccw
lysR   2977042 2977977 cw
ygeA   2977964 2978656 ccw
araE   2978785 2980203 ccw
kduD   2980518 2981279 ccw
kduI   2981309 2982145 ccw
yqeF   2982432 2983613 ccw
yqeG   2983868 2985097 cw
yqeH   2985557 2986189 cw
yqeI   2986523 2987332 cw
yqeJ   2987325 2987807 cw
yqeL   2987840 2987920 ccw
yqeK   2987956 2988381 ccw
ygeF   2988575 2989064 cw
ygeG   2989289 2989780 cw
ygeH   2990115 2991491 cw
ygeI   2991659 2991877 cw
pbl    2991960 2992462 cw
ygeK   2992481 2993113 ccw
ygeN   2993335 2994041 ccw
ygeO   2993983 2994381 ccw
insD   2994393 2995298 ccw
insC   2995256 2995621 ccw
ygeQ   2995713 2996849 ccw
ygeR   2997157 2997912 ccw
xdhA   2998366 3000624 cw
xdhB   3000635 3001513 cw
xdhC   3001510 3001989 cw
ygeV   3002029 3003807 ccw
ygeW   3004283 3005473 cw
ygeX   3005531 3006727 cw
ygeY   3006785 3007996 cw
hyuA   3008049 3009434 cw
yqeA   3009482 3010414 cw
yqeB   3010635 3012260 ccw
yqeC   3012308 3013078 ccw
mocA   3013181 3013759 cw
ygfK   3014081 3017179 cw
ssnA   3017182 3018510 cw
ygfM   3018561 3019340 cw
xdhD   3019337 3022207 cw
xanQ   3022372 3023772 cw
guaD   3023787 3025106 cw
ygfQ   3025142 3026509 cw
ygfS   3026545 3027033 ccw
ygfT   3027033 3028952 ccw
ygfU   3029388 3030836 cw
yqfG   3030838 3030963 cw
idi    3031086 3031634 cw
lysS   3031678 3033195 ccw
prfB   3033205 3034303 ccw
recJ   3034394 3036127 ccw
dsbC   3036133 3036843 ccw
xerD   3036868 3037764 ccw
fldB   3037876 3038397 cw
ygfX   3038437 3038844 ccw
ygfY   3038825 3039091 ccw
ygfZ   3039334 3040314 cw
yqfA   3040510 3041169 ccw
yqfB   3041333 3041644 ccw
bglA   3041683 3043122 cw
ygfF   3043179 3043922 ccw
gcvP   3044189 3047062 ccw
gcvH   3047181 3047570 ccw
gcvT   3047594 3048688 ccw
visC   3049136 3050338 ccw
ubiH   3050361 3051539 ccw
pepP   3051536 3052861 ccw
ygfB   3052887 3053465 ccw
zapA   3053633 3053962 cw
fau    3054262 3054810 cw
ibsC   3054911 3054970 ccw
serA   3055199 3056431 ccw
rpiA   3056687 3057346 ccw
yqfE   3057402 3057722 ccw
argP   3057774 3058667 cw
scpA   3058871 3061015 cw
argK   3061008 3062003 cw
scpB   3062014 3062799 cw
scpC   3062823 3064301 cw
ygfI   3064298 3065194 ccw
yggE   3065361 3066101 ccw
argO   3066194 3066829 ccw
mscS   3066968 3067828 ccw
fbaA   3068186 3069265 ccw
pgk    3069480 3070643 ccw
epd    3070693 3071712 ccw
yggC   3071997 3072710 ccw
yggD   3072707 3073216 ccw
yggF   3073238 3074203 ccw
yggP   3074200 3075477 ccw
cmtA   3075492 3076880 ccw
cmtB   3076908 3077351 ccw
tktA   3077665 3079656 ccw
yggG   3079934 3080692 cw
speB   3080898 3081818 ccw
speA   3081956 3083932 ccw
yqgB   3083941 3084072 ccw
yqgC   3084208 3084423 cw
metK   3084727 3085881 cw
galP   3086305 3087699 cw
yggI   3087776 3088273 cw
endA   3088368 3089075 cw
rsmE   3089155 3089886 cw
gshB   3089899 3090849 cw
yqgE   3090958 3091521 cw
yqgF   3091521 3091937 cw
yggR   3092121 3093101 ccw
yggS   3093119 3093823 cw
yggT   3093841 3094407 cw
yggU   3094404 3094694 cw
rdgB   3094702 3095295 cw
yggW   3095288 3096424 cw
yggM   3096579 3097586 ccw
ansB   3097703 3098749 ccw
yggN   3098925 3099644 ccw
yggL   3099828 3100154 ccw
trmI   3100154 3100873 ccw
mutY   3101034 3102086 cw
yggX   3102114 3102389 cw
mltC   3102454 3103533 cw
nupG   3103735 3104991 cw
speC   3105041 3107176 ccw
yqgA   3107574 3108281 cw
yghD   3108611 3109147 ccw
yghE   3109149 3110111 ccw
yghF   3110114 3110962 ccw
yghG   3111088 3111498 ccw
pppA   3111564 3112373 ccw
yghJ   3112571 3117133 ccw
glcA   3117618 3119300 ccw
glcB   3119655 3121826 ccw
glcG   3121848 3122252 ccw
glcF   3122257 3123480 ccw
glcE   3123491 3124543 ccw
glcD   3124543 3126042 ccw
glcC   3126293 3127057 cw
yghO   3127064 3128164 ccw
insH   3128199 3129215 cw
yghQ   3129362 3130429 ccw
yghR   3130475 3131233 ccw
yghS   3131265 3131978 ccw
yghT   3132152 3132844 cw
pitB   3132893 3134392 ccw
gss    3134684 3136543 ccw
yghU   3136748 3137614 cw
hybG   3137737 3137985 ccw
hybF   3137998 3138339 ccw
hybE   3138332 3138820 ccw
hybD   3138813 3139307 ccw
hybC   3139307 3141010 ccw
hybB   3141007 3142185 ccw
hybA   3142175 3143161 ccw
hybO   3143164 3144282 ccw
yghW   3144471 3144758 ccw
yghX   3144877 3145712 ccw
gpr    3145918 3146958 cw
yqhA   3146998 3147492 ccw
yghA   3147683 3148567 cw
exbD   3148839 3149264 ccw
exbB   3149271 3150005 ccw
metC   3150257 3151444 cw
yghB   3151584 3152243 cw
yqhC   3152283 3153239 ccw
yqhD   3153376 3154539 cw
dkgA   3154644 3155471 cw
yqhG   3155671 3156597 cw
yqhH   3156648 3156905 cw
ygiQ   3156948 3159167 ccw
ftsP   3159278 3160690 ccw
plsC   3160765 3161502 ccw
parC   3161736 3163994 ccw
ygiS   3164132 3165739 ccw
mqsA   3165872 3166267 ccw
mqsR   3166269 3166565 ccw
ygiV   3166770 3167252 ccw
ygiW   3167305 3167697 ccw
qseB   3167849 3168508 cw
qseC   3168505 3169854 cw
ygiZ   3169900 3170232 ccw
mdaB   3170551 3171132 cw
ygiN   3171163 3171477 cw
parE   3171525 3173417 ccw
yqiA   3173446 3174027 ccw
cpdA   3174027 3174854 ccw
yqiB   3174879 3175301 ccw
nudF   3175302 3175931 ccw
tolC   3176136 3177617 cw
ygiB   3177765 3178436 cw
ygiC   3178442 3179602 cw
ygiD   3179640 3180428 ccw
zupT   3180571 3181344 cw
ribB   3181834 3182487 ccw
yqiC   3182861 3183151 cw
ygiL   3183435 3183986 cw
yqiG   3184082 3187886 cw
insC   3184208 3184573 cw
insD   3184531 3185436 cw
yqiH   3187902 3188651 cw
yqiI   3188653 3189717 cw
glgS   3189760 3189960 ccw
yqiJ   3190229 3190858 cw
yqiK   3190885 3192546 cw
ibsD   3192787 3192846 cw
ibsE   3193162 3193221 cw
rfaE   3193341 3194774 ccw
glnE   3194822 3197662 ccw
ygiF   3197685 3198986 ccw
ygiM   3199228 3199848 cw
cca    3199912 3201150 cw
bacA   3201331 3202152 ccw
folB   3202242 3202610 ccw
plsY   3202715 3203332 cw
ttdR   3203345 3204277 ccw
ttdA   3204484 3205395 cw
ttdB   3205392 3205997 cw
ttdT   3206045 3207508 cw
ygjD   3207551 3208564 ccw
rpsU   3208802 3209017 cw
dnaG   3209128 3210873 cw
rpoD   3211068 3212909 cw
mug    3212988 3213494 ccw
yqjH   3213748 3214512 ccw
yqjI   3214800 3215423 cw
aer    3215577 3217097 ccw
patA   3217515 3218894 cw
ygjH   3218936 3219268 ccw
ebgR   3219487 3220470 cw
ebgA   3220654 3223746 cw
ebgC   3223743 3224192 cw
ygjI   3224255 3225688 cw
ygjJ   3225822 3226892 cw
ygjK   3226909 3229260 cw
fadH   3229686 3231704 cw
higA   3231749 3232165 ccw
higB   3232162 3232476 ccw
rlmG   3232760 3233896 ccw
ygjP   3233981 3234484 cw
ygjQ   3234561 3235253 cw
ygjR   3235332 3236318 cw
alx    3236601 3237566 cw
sstT   3237965 3239209 cw
ygjV   3239214 3239765 ccw
uxaA   3239848 3241335 ccw
uxaC   3241350 3242762 ccw
exuT   3243125 3244543 cw
exuR   3244673 3245449 cw
yqjA   3245794 3246456 cw
mzrA   3246460 3246843 cw
yqjC   3246990 3247358 cw
yqjD   3247396 3247701 cw
yqjE   3247704 3248108 cw
yqjK   3248098 3248397 cw
yqjF   3248583 3248975 cw
yqjG   3249045 3250031 cw
yhaH   3250325 3250690 cw
yhaI   3250932 3251288 cw
yhaJ   3251339 3252235 ccw
yhaK   3252340 3253041 cw
yhaL   3253064 3253228 cw
yhaM   3253362 3254672 ccw
yhaO   3254700 3256031 ccw
tdcG   3256306 3257670 ccw
tdcF   3257742 3258131 ccw
tdcE   3258145 3260439 ccw
tdcD   3260473 3261681 ccw
tdcC   3261707 3263038 ccw
tdcB   3263060 3264049 ccw
tdcA   3264148 3265086 ccw
tdcR   3265401 3265619 cw
yhaB   3265875 3266414 cw
yhaC   3266436 3267623 cw
garK   3268646 3269791 ccw
garR   3269888 3270772 ccw
garL   3270808 3271578 ccw
garP   3271594 3272928 ccw
garD   3273303 3274874 cw
prlF   3275023 3275358 cw
yhaV   3275358 3275822 cw
agaR   3275877 3276686 ccw
kbaZ   3276935 3278215 cw
agaV   3278238 3278711 cw
agaW   3278722 3279096 cw
agaA   3279092 3279646 cw
agaS   3279997 3281151 cw
kbaY   3281164 3282024 cw
agaB   3282191 3282667 cw
agaC   3282706 3283509 cw
agaD   3283499 3284290 cw
agaI   3284291 3285046 cw
yraH   3285447 3286031 cw
yraI   3286111 3286806 cw
yraJ   3286835 3289351 cw
yraK   3289362 3290453 cw
rsmI   3290496 3291356 ccw
lpoA   3291421 3293457 cw
yraN   3293415 3293810 cw
diaA   3293830 3294420 cw
yraP   3294430 3295005 cw
yraQ   3295119 3296159 ccw
yraR   3296232 3296867 ccw
yhbO   3296995 3297513 cw
yhbP   3297493 3297936 ccw
yhbQ   3297987 3298289 cw
yhbS   3298276 3298779 ccw
yhbT   3298773 3299297 ccw
yhbU   3299506 3300501 cw
yhbV   3300510 3301388 cw
yhbW   3301469 3302476 cw
mtr    3302594 3303838 ccw
deaD   3303992 3305881 ccw
yrbN   3305874 3305954 ccw
nlpI   3306061 3306945 ccw
pnp    3307054 3309189 ccw
rpsO   3309436 3309705 ccw
truB   3309854 3310798 ccw
rbfA   3310798 3311199 ccw
infB   3311363 3314035 ccw
nusA   3314060 3315547 ccw
rimP   3315575 3316027 ccw
argG   3316658 3318001 cw
yhbX   3318009 3319634 ccw
secG   3320194 3320526 ccw
glmM   3320754 3322091 ccw
folP   3322084 3322932 ccw
ftsH   3323022 3324956 ccw
rlmE   3325056 3325685 ccw
yhbY   3325811 3326104 cw
greA   3326260 3326736 ccw
dacB   3326984 3328417 cw
obgE   3328603 3329775 ccw
yhbE   3329791 3330756 ccw
rpmA   3330883 3331140 ccw
rplU   3331161 3331472 ccw
ispB   3331731 3332702 cw
sfsB   3332930 3333208 cw
murA   3333256 3334515 ccw
yrbA   3334570 3334824 ccw
mlaB   3334984 3335277 ccw
mlaC   3335277 3335912 ccw
mlaD   3335931 3336482 ccw
mlaE   3336487 3337269 ccw
mlaF   3337277 3338086 ccw
yrbG   3338296 3339273 cw
kdsD   3339287 3340273 cw
kdsC   3340294 3340860 cw
lptC   3340857 3341432 cw
lptA   3341401 3341958 cw
lptB   3341965 3342690 cw
rpoN   3342738 3344171 cw
hpf    3344194 3344481 cw
ptsN   3344599 3345090 cw
yhbJ   3345136 3345990 cw
npr    3345987 3346259 cw
yrbL   3346473 3347105 cw
mtgA   3347102 3347830 ccw
elbB   3347827 3348480 ccw
arcB   3348710 3351046 ccw
yhcC   3351142 3352071 ccw
gltB   3352746 3357206 cw
gltD   3357219 3358637 cw
gltF   3359197 3359961 cw
yhcA   3360133 3360807 cw
yhcD   3360828 3363209 cw
yhcE   3363206 3364950 cw
insH   3363723 3364739 ccw
yhcF   3364947 3365663 cw
yhcG   3365848 3366975 cw
yhcH   3367035 3367499 ccw
nanK   3367496 3368371 ccw
nanE   3368368 3369057 ccw
nanT   3369105 3370595 ccw
nanA   3370704 3371597 ccw
nanR   3371719 3372510 ccw
dcuD   3372890 3374257 cw
sspB   3374300 3374797 ccw
sspA   3374803 3375441 ccw
rpsI   3375836 3376228 ccw
rplM   3376244 3376672 ccw
yhcM   3376891 3378018 ccw
yhcB   3378212 3378610 cw
degQ   3378764 3380131 cw
degS   3380221 3381288 cw
mdh    3381351 3382289 ccw
argR   3382724 3383194 cw
yhcN   3383559 3383822 cw
yhcO   3383878 3384150 ccw
aaeB   3384242 3386209 ccw
aaeA   3386215 3387147 ccw
aaeX   3387155 3387358 ccw
aaeR   3387541 3388470 cw
tldD   3388604 3390049 ccw
yhdP   3390479 3394279 ccw
rng    3394347 3395816 ccw
yhdE   3395806 3396399 ccw
mreD   3396408 3396896 ccw
mreC   3396896 3397999 ccw
mreB   3398065 3399108 ccw
csrD   3399413 3401353 ccw
yhdH   3401505 3402479 cw
yrdF   3402516 3402658 cw
yrdE   3402659 3403052 cw
accB   3403457 3403927 cw
accC   3403938 3405287 cw
yhdT   3405396 3405638 cw
panF   3405628 3407079 cw
prmA   3407091 3407972 cw
dusB   3408301 3409266 cw
fis    3409292 3409588 cw
yhdJ   3409674 3410558 cw
yhdU   3410642 3410821 cw
envR   3410824 3411486 ccw
acrE   3411885 3413042 cw
acrF   3413054 3416158 cw
yhdV   3416411 3416632 cw
yhdW   3417063 3418087 cw
yhdX   3418155 3419336 cw
yhdY   3419346 3420449 cw
yhdZ   3420457 3421215 cw
yrdA   3427257 3427811 cw
yrdB   3427787 3428044 ccw
aroE   3428041 3428859 ccw
rimN   3428864 3429436 ccw
yrdD   3429441 3429983 ccw
smg    3430012 3430485 ccw
smf    3430457 3431581 ccw
def    3431711 3432220 cw
fmt    3432235 3433182 cw
rsmB   3433228 3434517 cw
trkA   3434539 3435915 cw
mscL   3436045 3436455 cw
arfA   3436452 3436670 ccw
zntR   3436726 3437151 ccw
yhdN   3437162 3437530 ccw
rplQ   3437637 3438020 ccw
rpoA   3438061 3439050 ccw
rpsD   3439076 3439696 ccw
rpsK   3439730 3440119 ccw
rpsM   3440136 3440492 ccw
rpmJ   3440639 3440755 ccw
secY   3440787 3442118 ccw
rplO   3442126 3442560 ccw
rpmD   3442564 3442743 ccw
rpsE   3442747 3443250 ccw
rplR   3443265 3443618 ccw
rplF   3443628 3444161 ccw
rpsH   3444174 3444566 ccw
rpsN   3444600 3444905 ccw
rplE   3444920 3445459 ccw
rplX   3445474 3445788 ccw
rplN   3445799 3446170 ccw
rpsQ   3446335 3446589 ccw
rpmC   3446589 3446780 ccw
rplP   3446780 3447190 ccw
rpsC   3447203 3447904 ccw
rplV   3447922 3448254 ccw
rpsS   3448269 3448547 ccw
rplB   3448564 3449385 ccw
rplW   3449403 3449705 ccw
rplD   3449702 3450307 ccw
rplC   3450318 3450947 ccw
rpsJ   3450980 3451291 ccw
gspB   3451529 3451948 ccw
gspA   3451950 3453419 ccw
gspC   3453599 3454414 cw
gspD   3454398 3456350 cw
gspE   3456360 3457841 cw
gspF   3457838 3459034 cw
gspG   3459044 3459481 cw
gspH   3459489 3459998 cw
gspI   3459995 3460372 cw
gspJ   3460365 3460952 cw
gspK   3460945 3461928 cw
gspL   3461943 3463106 cw
gspM   3463103 3463564 cw
gspO   3463564 3464241 cw
bfr    3464270 3464746 ccw
bfd    3464818 3465012 ccw
chiA   3465181 3467874 ccw
tufA   3468166 3469350 ccw
fusA   3469421 3471535 ccw
rpsG   3471563 3472102 ccw
rpsL   3472199 3472573 ccw
tusB   3472699 3472986 ccw
tusC   3472994 3473353 ccw
tusD   3473353 3473739 ccw
yheO   3473739 3474461 ccw
fkpA   3474628 3475440 ccw
slyX   3475661 3475879 cw
slyD   3475928 3476518 ccw
yheV   3476613 3476813 ccw
kefB   3476823 3478628 ccw
kefG   3478628 3479182 ccw
yheS   3479310 3481223 cw
yheT   3481223 3482245 cw
yheU   3482239 3482457 cw
prkB   3482511 3483380 cw
yhfA   3483435 3483839 ccw
crp    3484141 3484773 cw
yhfK   3484812 3486914 cw
argD   3486981 3488201 ccw
pabA   3488287 3488850 ccw
fic    3488882 3489484 ccw
yhfG   3489474 3489641 ccw
ppiA   3489746 3490318 ccw
tsgA   3490589 3491770 cw
nirB   3492032 3494575 cw
nirD   3494572 3494898 cw
nirC   3495024 3495830 cw
cysG   3495849 3497222 cw
yhfL   3497469 3497636 cw
frlA   3497931 3499268 cw
frlB   3499289 3500311 cw
frlC   3500361 3501191 cw
frlD   3501188 3501973 cw
frlR   3502073 3502804 cw
yhfS   3502956 3504041 ccw
yhfT   3504053 3505357 ccw
yhfU   3505369 3505722 ccw
php    3505733 3506611 ccw
yhfW   3506608 3507834 ccw
yhfX   3507834 3508997 ccw
yhfY   3509081 3509443 ccw
yhfZ   3509460 3510365 ccw
trpS   3510655 3511659 ccw
gph    3511652 3512410 ccw
rpe    3512403 3513080 ccw
dam    3513098 3513934 ccw
damX   3514041 3515327 ccw
aroB   3515419 3516507 ccw
aroK   3516564 3517085 ccw
hofQ   3517486 3518724 ccw
hofP   3518636 3519040 ccw
hofO   3519030 3519470 ccw
hofN   3519454 3519993 ccw
hofM   3519993 3520772 ccw
mrcA   3520892 3523444 cw
nudE   3523610 3524170 ccw
yrfF   3524490 3526625 cw
yrfG   3526690 3527358 cw
hslR   3527369 3527770 cw
hslO   3527795 3528673 cw
yhgE   3528736 3530460 ccw
pck    3530839 3532461 cw
envZ   3532537 3533889 ccw
ompR   3533886 3534605 ccw
greB   3534833 3535309 cw
yhgF   3535406 3537727 cw
feoA   3538184 3538411 cw
feoB   3538428 3540749 cw
feoC   3540749 3540985 cw
yhgA   3541188 3542066 cw
bioH   3542095 3542865 ccw
gntX   3542903 3543586 cw
nfuA   3543645 3544220 cw
gntT   3544580 3545896 cw
malQ   3546007 3548091 ccw
malP   3548101 3550494 ccw
malT   3551106 3553811 cw
rtcA   3553854 3554870 ccw
rtcB   3554874 3556100 ccw
rtcR   3556289 3557887 cw
glpR   3557869 3558627 ccw
glpG   3558644 3559474 ccw
glpE   3559519 3559845 ccw
glpD   3560035 3561540 cw
yzgL   3561809 3562027 ccw
glgP   3562156 3564603 ccw
glgA   3564622 3566055 ccw
glgC   3566055 3567350 ccw
glgX   3567368 3569341 ccw
glgB   3569338 3571524 ccw
asd    3571797 3572900 ccw
yhgN   3573093 3573686 cw
gntU   3573743 3575083 ccw
gntK   3575087 3575614 ccw
gntR   3575753 3576748 ccw
yhhW   3576972 3577667 ccw
yhhX   3577790 3578827 ccw
yhhY   3579160 3579648 cw
yhhZ   3579885 3581063 cw
yrhA   3581060 3582331 cw
insA   3581505 3581780 cw
insB   3581699 3582202 cw
yrhD   3582426 3582581 cw
yrhB   3582781 3583065 cw
ggt    3583103 3584845 ccw
yhhA   3584965 3585405 cw
ugpQ   3585392 3586135 ccw
ugpC   3586132 3587202 ccw
ugpE   3587204 3588049 ccw
ugpA   3588046 3588933 ccw
ugpB   3589031 3590347 ccw
livF   3590746 3591459 ccw
livG   3591461 3592228 ccw
livM   3592225 3593502 ccw
livH   3593499 3594425 ccw
livK   3594473 3595582 ccw
yhhK   3596006 3596389 cw
livJ   3596577 3597680 ccw
rpoH   3597951 3598805 ccw
ftsX   3599050 3600108 ccw
ftsE   3600101 3600769 ccw
ftsY   3600772 3602265 ccw
rsmD   3602415 3603011 cw
yhhL   3603001 3603270 cw
yhhM   3603273 3603632 ccw
yhhN   3603773 3604399 cw
zntA   3604473 3606671 cw
tusA   3606773 3607018 ccw
yhhQ   3607239 3607904 cw
dcrB   3607977 3608534 cw
yhhS   3608538 3609755 ccw
yhhT   3609887 3610936 cw
acpT   3610991 3611578 cw
nikA   3611689 3613263 cw
nikB   3613263 3614207 cw
nikC   3614204 3615037 cw
nikD   3615037 3615801 cw
nikE   3615798 3616604 cw
nikR   3616610 3617011 cw
rhsB   3617214 3621449 cw
yhhH   3621421 3621804 cw
yrhC   3621909 3622259 cw
yhhI   3622400 3623536 cw
yhhJ   3623701 3624825 ccw
rbbA   3624825 3627560 ccw
yhiI   3627557 3628624 ccw
yhiJ   3628990 3630612 ccw
yhiL   3630874 3632480 ccw
yhiM   3632863 3633915 cw
yhiN   3634230 3635432 ccw
pitA   3635664 3637163 cw
uspB   3637407 3637742 ccw
uspA   3638133 3638567 cw
dtpB   3638884 3640353 cw
yhiQ   3640402 3641154 ccw
prlC   3641162 3643204 ccw
yhiR   3643407 3644249 cw
gor    3644321 3645673 cw
dinQ   3645727 3645855 ccw
arsR   3646550 3646903 cw
arsB   3646957 3648246 cw
arsC   3648259 3648684 cw
yhiS   3649313 3651735 cw
insH   3650204 3651220 ccw
slp    3651983 3652549 cw
dctR   3652705 3653235 cw
yhiD   3653277 3653924 ccw
hdeB   3653988 3654314 ccw
hdeA   3654430 3654762 ccw
hdeD   3655017 3655589 cw
gadE   3656388 3656915 cw
mdtE   3657254 3658411 cw
mdtF   3658436 3661549 cw
gadW   3661912 3662640 ccw
gadX   3663008 3663832 ccw
gadA   3664202 3665602 ccw
yhjA   3665813 3667210 ccw
treF   3667614 3669263 cw
yhjB   3669314 3669916 ccw
yhjC   3670436 3671335 cw
yhjD   3671384 3672397 cw
yhjE   3672808 3674130 cw
yhjG   3674312 3676372 ccw
yhjH   3676442 3677209 ccw
kdgK   3677441 3678370 cw
yhjJ   3678466 3679962 ccw
dctA   3680183 3681469 ccw
yhjK   3681652 3683640 ccw
bcsC   3683722 3687195 ccw
bcsZ   3687177 3688283 ccw
bcsB   3688290 3690629 ccw
bcsA   3690640 3693258 ccw
bcsQ   3693255 3694007 ccw
yhjR   3694019 3694207 ccw
bcsE   3694480 3696051 cw
bcsF   3696048 3696239 cw
bcsG   3696236 3697915 cw
ldrD   3698002 3698109 ccw
yhjV   3698585 3699856 cw
dppF   3699886 3700890 ccw
dppD   3700887 3701870 ccw
dppC   3701881 3702783 ccw
dppB   3702793 3703812 ccw
dppA   3704120 3705727 ccw
eptB   3706806 3708497 ccw
yhjX   3708821 3710029 ccw
yhjY   3710258 3710956 ccw
tag    3711114 3711677 cw
yiaC   3711674 3712114 cw
bisC   3712083 3714416 ccw
yiaD   3714569 3715228 cw
ghrB   3715332 3716306 cw
yiaF   3716356 3717066 ccw
yiaG   3717500 3717790 cw
cspA   3718071 3718283 cw
mokA   3718470 3718654 ccw
hokA   3718470 3718622 ccw
insJ   3718702 3719223 cw
insK   3719220 3720071 cw
glyS   3720350 3722419 ccw
glyQ   3722429 3723340 ccw
ysaB   3723435 3723734 ccw
wecH   3723909 3724904 cw
yiaA   3724946 3725383 ccw
yiaB   3725429 3725770 ccw
xylB   3725939 3727393 ccw
xylA   3727465 3728787 ccw
xylF   3729153 3730145 cw
xylG   3730223 3731764 cw
xylH   3731742 3732923 cw
xylR   3733001 3734179 cw
bax    3734375 3735199 ccw
malS   3735519 3737549 cw
avtA   3737727 3738980 cw
ysaA   3739131 3739604 ccw
yiaJ   3739706 3740554 ccw
yiaK   3740755 3741753 cw
yiaL   3741765 3742232 cw
yiaM   3742350 3742823 cw
yiaN   3742826 3744103 cw
yiaO   3744116 3745102 cw
lyxK   3745106 3746602 cw
yiaQ   3746599 3747261 cw
yiaR   3747254 3748114 cw
yiaS   3748108 3748803 cw
ysaC   3748835 3748936 ccw
ysaD   3748940 3749131 cw
yiaT   3749150 3749890 ccw
yiaU   3750014 3750988 cw
yiaV   3750985 3752121 ccw
yiaW   3752127 3752450 ccw
aldB   3752995 3754533 ccw
yiaY   3754698 3755849 ccw
selB   3756039 3757883 ccw
selA   3757880 3759271 ccw
yibF   3759369 3759977 ccw
rhsA   3760205 3764338 cw
yibA   3764359 3765201 cw
yibJ   3765243 3766187 cw
yibG   3766199 3766660 cw
yibS   3766661 3766912 cw
yibW   3766914 3767278 cw
yibV   3767367 3767805 cw
yibU   3767970 3768168 cw
yibH   3768265 3769401 ccw
yibI   3769404 3769766 ccw
mtlA   3770303 3772216 cw
mtlD   3772446 3773594 cw
mtlR   3773594 3774181 cw
yibT   3774193 3774402 ccw
yibL   3774687 3775049 cw
lldP   3775421 3777076 cw
lldR   3777076 3777852 cw
lldD   3777849 3779039 cw
trmL   3779237 3779710 cw
cysE   3779763 3780584 ccw
gpsA   3780664 3781683 ccw
secB   3781683 3782150 ccw
grxC   3782213 3782464 ccw
yibN   3782606 3783037 ccw
gpmM   3783282 3784826 cw
envC   3784860 3786119 cw
yibQ   3786123 3787082 cw
yibD   3787069 3788103 ccw
tdh    3788342 3789367 ccw
kbl    3789377 3790573 ccw
yibB   3790848 3791705 ccw
rfaD   3792009 3792941 cw
rfaF   3792951 3793997 cw
rfaC   3794001 3794960 cw
rfaL   3794970 3796229 cw
waaU   3796261 3797334 ccw
rfaZ   3797367 3798218 ccw
rfaY   3798289 3798987 ccw
rfaJ   3799005 3800021 ccw
rfaI   3800061 3801080 ccw
rfaB   3801080 3802159 ccw
rfaS   3802203 3803138 ccw
rfaP   3803175 3803972 ccw
rfaG   3803965 3805089 ccw
rfaQ   3805086 3806120 ccw
waaA   3806562 3807839 cw
coaD   3807847 3808326 cw
mutM   3808365 3809174 ccw
rpmG   3809272 3809439 ccw
rpmB   3809460 3809696 ccw
yicR   3809913 3810581 ccw
dfp    3810753 3811973 cw
dut    3811954 3812409 cw
slmA   3812516 3813112 cw
pyrE   3813149 3813790 ccw
rph    3813885 3814571 ccw
yicC   3814698 3815561 cw
dinD   3815782 3816606 cw
yicG   3816896 3817513 cw
ligB   3817510 3819192 ccw
gmk    3819450 3820073 cw
rpoZ   3820128 3820403 cw
spoT   3820422 3822530 cw
trmH   3822537 3823226 cw
recG   3823232 3825313 cw
gltS   3825482 3826687 ccw
xanP   3826967 3828358 cw
yicH   3828479 3830188 cw
yicI   3830241 3832559 ccw
yicJ   3832569 3833951 ccw
yicT   3834447 3834578 cw
setC   3834975 3836159 cw
yicL   3836270 3837193 cw
nlpA   3837197 3838015 ccw
yicS   3838237 3838530 cw
nepI   3838571 3839761 ccw
yicN   3839972 3840424 ccw
yicO   3840477 3841811 ccw
ade    3841986 3843752 cw
uhpT   3843798 3845189 ccw
uhpC   3845327 3846646 ccw
uhpB   3846656 3848158 ccw
uhpA   3848158 3848748 ccw
ilvN   3848824 3849114 ccw
ilvB   3849118 3850806 ccw
ivbL   3850912 3851010 ccw
tisB   3851575 3851664 cw
emrD   3851944 3853128 cw
yidF   3853136 3853633 ccw
yidG   3853630 3853992 ccw
yidH   3853982 3854329 ccw
yidI   3854437 3854886 cw
yidJ   3854933 3856426 ccw
yidK   3856423 3858138 ccw
yidL   3858305 3859198 cw
glvG   3859195 3860009 ccw
glvC   3860009 3861625 ccw
yidP   3861921 3862637 cw
yidE   3862634 3864295 ccw
ibpB   3864491 3864919 ccw
ibpA   3865031 3865444 ccw
yidQ   3865750 3866082 cw
yidR   3866084 3867331 ccw
cbrA   3867399 3868463 cw
dgoT   3868460 3869752 ccw
dgoD   3869872 3871020 ccw
